movie_id,movie_title,title_year,language,country,color,genres,imdb_score,plot_keywords,director_name,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,facenumber_in_poster,movie_imdb_link,,,,
,Gun Shy,2000,English,USA,Color,Comedy|Crime|Romance,5.7,colombian|enema|group therapy|murder|nurse,Eric Blakeney,5936,91,49,R,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,,,,          
,Cecil B. DeMented,2000,English,France,Color,Comedy|Crime|Thriller,6.2,actress|drive in|female protagonist|movie star|woman shot in the forehead,John Waters,11403,150,90,R,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,,,,          
,Next Friday,2000,English,USA,Color,Comedy,6.1,african american|flashback|marijuana joint|porn magazine|suburb,Steve Carr,27492,84,55,R,1,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,,,,          
,Down to You,2000,English,USA,Color,Comedy|Drama|Romance,4.9,artist|cake|college|new york city|student,Kris Isacsson,12324,173,64,PG-13,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,,,,          
,The Contender,2000,English,USA,Color,Drama|Thriller,7,bridge|governor|political thriller|president|vice president,Rod Lurie,20449,370,136,R,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,,,,          
,Boiler Room,2000,English,USA,Color,Crime|Drama|Thriller,7,career|casino|judge|stock|stock broker,Ben Younger,41313,246,132,R,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,,,,          
,The Way of the Gun,2000,English,USA,Color,Action|Crime|Drama|Thriller,6.7,criminal|drifter|gangster|money|surrogate mother,Christopher McQuarrie,27536,327,117,R,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,,,,          
,American Psycho,2000,English,USA,Color,Crime|Drama,7.6,1980s|business card|male rear nudity|materialism|narcissism,Mary Harron,357275,1061,288,R,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,,,,          
,Shadow of the Vampire,2000,English,UK, Black and White,Drama|Horror,6.9,actor|breasts|film actress|nosferatu|vampire,E. Elias Merhige,34191,339,196,R,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,,,,          
,Woman on Top,2000,English,USA,Color,Comedy|Fantasy|Romance,5.3,cross dresser|food|friend|motion sickness|restaurant,Fina Torres,8546,86,72,R,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,,,,          
,My Dog Skip,2000,English,USA,Color,Drama|Family|Sport,7,1940s|dog|mississippi|puppy|veteran,Jay Russell,16651,149,79,PG,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,,,,          
,The Claim,2000,English,UK,Color,Drama|Romance|Western,6.5,gold|gold mine|miner|railroad|surveyor,Michael Winterbottom,5254,92,71,R,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,,,,          
,Michael Jordan to the Max,2000,English,USA,Color,Documentary|Sport,7.5,basketball|basketball player|character name in title|chicago bulls|imax,Don Kempf,1723,13,14,,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,,,,          
,Aberdeen,2000,English,UK,Color,Drama,7.3,death|ferry|lawyer|norway|vomiting,Hans Petter Moland,2601,35,28,,0,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,,,,          
,Best in Show,2000,English,USA,Color,Comedy,7.5,dog show|gay|gay character|gay couple|gay interest,Christopher Guest,45859,340,119,PG-13,9,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,,,,          
,Pollock,2000,English,USA,Color,Biography|Drama,7,1940s|artist|drinking|life magazine|painter,Ed Harris,23023,148,115,R,0,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,,,,          
,Memento,2000,English,USA, Black and White,Mystery|Thriller,8.5,flashback|memory|murder|short term memory|telephone,Christopher Nolan,845580,2067,274,R,0,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,,,,          
,Billy Elliot,2000,English,UK,Color,Drama|Music,7.7,audition|ballet|boxing|miner|miners strike,Stephen Daldry,98354,433,151,R,0,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,,,,          
,Digimon: The Movie,2000,English,USA,Color,Action|Adventure|Animation|Family|Sci-Fi,5.9,based on video game|box office hit|computer|digimon|internet,Mamoru Hosoda,5164,65,29,PG,0,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,,,,          
,Requiem for a Dream,2000,English,USA,Color,Drama,8.4,addiction|diet pill|drug addiction|fast motion scene|heroin,Darren Aronofsky,573541,1916,234,R,0,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,,,,          
,Sexy Beast,2000,English,UK,Color,Crime|Thriller,7.3,boulder|gangster|one last job|spain|villa,Jonathan Glazer,43135,346,149,R,6,http://www.imdb.com/title/tt0203119/?ref_=fn_tt_tt_1,,,,          
,3 Strikes,2000,English,USA,Color,Comedy,4,adult diaper|diaper|digit in title|dream|sawed off shotgun,DJ Pooh,1415,10,22,R,1,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,,,,          
,Psycho Beach Party,2000,English,Australia,Color,Comedy|Horror|Mystery,6.3,cliche|exchange student|slasher|spoof|surfing,Robert Lee King,4617,93,51,Unrated,1,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,,,,          
,An Everlasting Piece,2000,English,USA,Color,Comedy,6.3,alopecia|belfast northern ireland|ireland|irish republican army|scalper,Barry Levinson,1398,26,34,R,4,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,,,,          
,The Original Kings of Comedy,2000,English,USA,Color,Comedy|Documentary,6.6,backstage|comedian|concert film|emcee|stand up comedian,Spike Lee,4687,83,53,R,0,http://www.imdb.com/title/tt0236388/?ref_=fn_tt_tt_1,,,,          
,Pokémon 3: The Movie,2000,Japanese,Japan,Color,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,5.6,ash|father|mother|pokemon|professor,Kunihiko Yuyama,9066,55,39,G,0,http://www.imdb.com/title/tt0235679/?ref_=fn_tt_tt_1,,,,          
,Whipped,2000,English,USA,Color,Comedy|Romance,4.4,dating|diner|masturbation|urination|washington square manhattan new york city,Peter M. Cohen,3665,81,48,R,1,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,,,,          
,Anatomy,2000,German,Germany,Color,Horror|Thriller,6.1,dissection|male pubic hair|medical school|medical student|train,Stefan Ruzowitzky,10220,110,62,R,0,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,,,,          
,Amores Perros,2000,Spanish,Mexico,Color,Drama|Thriller,8.1,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,Alejandro G. Iñárritu,173551,361,157,R,0,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,,,,          
,Dinner Rush,2000,English,USA,Color,Crime|Drama|Romance,7.3,detective|food|gangster|police|restaurant,Bob Giraldi,4359,73,39,R,1,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,,,,          
,Hum To Mohabbat Karega,2000,Hindi,India,Color,Action|Comedy|Romance|Thriller,2.8,elevator|news reporter|police|restaurant|waiter,Kundan Shah,275,1,1,,2,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,,,,          
,Songcatcher,2000,English,USA,Color,Drama|Music,7.3,doctor|mountain|musician|song|university,Maggie Greenwald,2794,78,39,PG-13,1,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,,,,          
,Nine Queens,2000,Spanish,Argentina,Color,Crime|Drama|Thriller,7.9,con artist|hotel|partner|scam|stamp,Fabián Bielinsky,38215,125,94,R,0,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,,,,          
,You Can Count on Me,2000,English,USA,Color,Drama,7.7,bank|car accident|cheating husband|new york|single mother,Kenneth Lonergan,22145,231,122,R,0,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,,,,          
,The Broken Hearts Club: A Romantic Comedy,2000,English,USA,Color,Comedy|Drama|Romance|Sport,7,friend|gay|lesbian|photographer|restaurant,Greg Berlanti,6084,120,51,R,1,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,,,,          
,Fiza,2000,Hindi,India, Black and White,Drama|Romance,6.2,mumbai riots|politician|riot|suicide|tragic event,Khalid Mohamed,2715,19,1,,3,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,,,,          
,Luminarias,2000,English,USA,Color,Comedy|Romance,3.6,divorce|friend|jewish|lent|restaurant,José Luis Valenzuela,505,32,13,R,1,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,,,,          
,Lisa Picard Is Famous,2000,English,USA,Color,Comedy|Drama,5.7,actress|fame|inside joke|new york|one man show,Griffin Dunne,455,16,13,PG-13,1,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,,,,          
,The Specials,2000,English,USA,Color,Action|Comedy|Fantasy|Sci-Fi,6,action figure|press conference|superhero|superhero team|toy,Craig Mazin,1938,54,29,R,0,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,,,,          
,The Young Unknowns,2000,English,USA,Color,Drama,4.2,based on play|independent film,Catherine Jelski,122,3,13,R,0,http://www.imdb.com/title/tt0186719/?ref_=fn_tt_tt_1,,,,          
,Mercy Streets,2000,English,USA,Color,Action|Crime|Drama,5.6,church|cigarette smoking|deacon|twin brother|twins,Jon Gunn,448,16,15,PG-13,1,http://www.imdb.com/title/tt0243415/?ref_=fn_tt_tt_1,,,,          
,Groove,2000,English,USA,Color,Drama|Music,6.5,dj|ecstasy the drug|rave|raver|warehouse,Greg Harrison,3562,74,46,R,0,http://www.imdb.com/title/tt0212974/?ref_=fn_tt_tt_1,,,,          
,Everything Put Together,2000,English,USA,Color,Drama,6.6,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,Marc Forster,601,10,24,R,0,http://www.imdb.com/title/tt0228277/?ref_=fn_tt_tt_1,,,,          
,Chuck & Buck,2000,English,USA,Color,Comedy|Drama,6.6,best friend|bisexuality|friend|gay kiss|sexuality,Miguel Arteta,4662,136,59,R,0,http://www.imdb.com/title/tt0200530/?ref_=fn_tt_tt_1,,,,          
,Urbania,2000,English,USA,Color,Drama,7,hot dog bun|needle|new york|rat|tourist,Jon Shear,2742,73,38,R,1,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,,,,          
,Tadpole,2000,English,USA,Color,Comedy|Drama|Romance,6.3,best friend|boy|french|friend|love,Gary Winick,5178,101,91,PG-13,2,http://www.imdb.com/title/tt0271219/?ref_=fn_tt_tt_1,,,,          
,George Washington,2000,English,USA,Color,Drama,7.5,cover up|north carolina|redemption|small town|teenager,David Gordon Green,6246,76,75,Unrated,0,http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1,,,,          
,The Circle,2000,Persian,Iran,Color,Drama,7.5,abortion|bus|hospital|prison|prostitution,Jafar Panahi,4555,26,64,Not Rated,0,http://www.imdb.com/title/tt0255094/?ref_=fn_tt_tt_1,,,,          
,Rules of Engagement            ,2000,English,USA,Color,Comedy|Romance,7.3,fiance|fiancee|magazine editor|naivety|womanizer,,26404,41,8,TV-PG,3,http://www.imdb.com/title/tt0790772/?ref_=fn_tt_tt_1,,,,          
,Yu-Gi-Oh! Duel Monsters            ,2000,Japanese,Japan,Color,Action|Adventure|Animation|Family|Fantasy,7,anime|based on manga|hero|surrealism|zen,,12417,51,6,,0,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,,,,          
,Saving Grace            ,2000,English,USA,Color,Drama|Fantasy,7.5,catholic|death row|inmate|oklahoma city|sexual promiscuity,,3852,47,9,TV-MA,1,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,,,,          
,The Fast and the Furious,2001,English,USA,Color,Action|Crime|Thriller,6.7,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,Rob Cohen,272223,988,187,PG-13,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,,,,          
,Pearl Harbor,2001,English,USA, Black and White,Action|Drama|History|Romance|War,6.1,air raid|black smoke|japanese military|japanese navy|sunday,Michael Bay,254111,1999,191,PG-13,0,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,,,,          
,Final Fantasy: The Spirits Within,2001,English,USA,Color,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,6.4,general|military|scientist|soldier|year 2065,Hironobu Sakaguchi,72259,788,166,PG-13,1,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,,,,          
,Harry Potter and the Sorcerer's Stone,2001,English,UK,Color,Adventure|Family|Fantasy,7.5,based on novel|birthday|evil wizard|quidditch|wizard,Chris Columbus,444683,1571,258,PG,4,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,,,,          
,"Monsters, Inc.",2001,English,USA,Color,Adventure|Animation|Comedy|Family|Fantasy,8.1,friend|little girl|monster|rival|scream,Pete Docter,585659,593,250,G,0,http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1,,,,          
,The Lord of the Rings: The Fellowship of the Ring,2001,English,New Zealand,Color,Action|Adventure|Drama|Fantasy,8.8,elf|hobbit|middle earth|quest|ring,Peter Jackson,1238746,5060,297,PG-13,2,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,,,,          
,Ali,2001,English,USA, Black and White,Biography|Drama|Sport,6.8,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,Michael Mann,79186,386,174,R,1,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,,,,          
,Town & Country,2001,English,New Line,Color,Comedy|Romance,4.4,anniversary|architect|cellist|friend|hardware store,Peter Chelsom,4102,89,62,R,0,http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1,,,,          
,Planet of the Apes,2001,English,USA,Color,Action|Adventure|Sci-Fi|Thriller,5.7,astronaut|cage|planet|wilhelm scream|year 2029,Tim Burton,177725,1368,230,PG-13,0,http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1,,,,          
,The Mummy Returns,2001,English,USA,Color,Action|Adventure|Fantasy|Thriller,6.3,ancient egypt|bracelet|king|scorpion|son,Stephen Sommers,248045,890,202,PG-13,5,http://www.imdb.com/title/tt0209163/?ref_=fn_tt_tt_1,,,,          
,Black Hawk Down,2001,English,USA,Color,Drama|History|War,7.7,army|helicopter|somali|somalia|warlord,Ridley Scott,292022,1103,200,R,0,http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1,,,,          
,Lara Croft: Tomb Raider,2001,English,USA,Color,Action|Adventure|Fantasy|Thriller,5.7,illuminati|planetary alignment|time|tomb|tomb raider,Simon West,157016,824,199,PG-13,1,http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1,,,,          
,Jurassic Park III,2001,English,USA,Color,Action|Adventure|Sci-Fi|Thriller,5.9,dinosaur|island|jurassic park|paleontologist|search,Joe Johnston,219501,1236,198,PG-13,0,http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1,,,,          
,Rush Hour 2,2001,English,USA,Color,Action|Comedy|Crime|Thriller,6.6,boat|gang|hong kong|triad|vacation,Brett Ratner,160440,394,127,PG-13,2,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,,,,          
,Atlantis: The Lost Empire,2001,English,USA,Color,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,6.8,atlantis|crew|expedition|journal|museum,Gary Trousdale,72591,289,146,PG,0,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,,,,          
,A.I. Artificial Intelligence,2001,English,USA,Color,Adventure|Drama|Sci-Fi,7.1,affection|boy|fairy|future|robot,Steven Spielberg,238747,2153,281,PG-13,0,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,,,,          
,Spy Game,2001,English,Germany,Color,Action|Crime|Thriller,7,china|cia|cold war|friendship|retirement,Tony Scott,121259,361,142,R,2,http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1,,,,          
,The Fast and the Furious,2001,English,USA,Color,Action|Crime|Thriller,6.7,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,Rob Cohen,272223,988,187,PG-13,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,,,,          
,Ocean's Eleven,2001,English,USA,Color,Crime|Thriller,7.8,card dealer|casino|criminal mastermind|recruiting|ulcer,Steven Soderbergh,402645,845,186,PG-13,4,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,,,,          
,Enemy at the Gates,2001,English,USA,Color,Drama|History|War,7.6,battle|german|russian|sniper|stalingrad,Jean-Jacques Annaud,188887,662,187,R,1,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,,,,          
,Swordfish,2001,English,USA,Color,Action|Crime|Thriller,6.5,computer|secret agent|terrorism|told in flashback|wearing a sound wire,Dominic Sena,155532,543,166,R,4,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,,,,          
,A Beautiful Mind,2001,English,USA,Color,Biography|Drama,8.2,conspiracy|cryptography|mathematician|mental illness|nobel prize,Ron Howard,610568,1171,205,PG-13,0,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,,,,          
,Bandits,2001,English,USA,Color,Comedy|Crime|Drama|Romance,6.6,bank manager|hypochondriac|love triangle|prison|television,Barry Levinson,57038,261,132,PG-13,2,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,,,,          
,Monkeybone,2001,English,USA,Color,Animation|Comedy|Fantasy,4.7,carnival|coma|death|monkey|nightmare,Henry Selick,14280,171,74,PG-13,0,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,,,,          
,Dr. Dolittle 2,2001,English,USA,Color,Comedy|Family|Fantasy,4.6,bear|doctor|false accusation|man with glasses|second part,Steve Carr,33884,79,91,PG,0,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1,,,,          
,The Majestic,2001,English,USA,Color,Drama|Romance,6.9,amnesia|california|communist|small town|writer,Frank Darabont,45031,376,128,PG,1,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1,,,,          
,Driven,2001,English,USA,Color,Action|Drama|Sport,4.5,car race|german|race car|race car driver|rookie,Renny Harlin,34435,346,109,PG-13,0,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1,,,,          
,Vanilla Sky,2001,English,USA,Color,Fantasy|Mystery|Romance|Sci-Fi|Thriller,6.9,death|dream|love|lynchian|reality,Cameron Crowe,206776,1248,153,R,1,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,,,,          
,Osmosis Jones,2001,English,USA,Color,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,6.2,blood|body|egg|virus|white blood cell,Bobby Farrelly,25572,123,81,PG,0,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,,,,          
,The Score,2001,English,USA,Color,Crime|Drama|Thriller,6.8,partner|running|scepter|surveillance|thief,Frank Oz,101899,445,141,R,0,http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1,,,,          
,3000 Miles to Graceland,2001,English,USA,Color,Action|Comedy|Crime|Thriller,5.9,casino|elvis impersonator|gun|heist|rascal,Demian Lichtenstein,38076,399,113,R,2,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,,,,          
,Cats & Dogs,2001,English,USA,Color,Action|Comedy|Family|Fantasy,5.2,cartoon on tv|cat|dog|scientist|secret agent,Lawrence Guterman,46031,235,105,PG,0,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,,,,          
,The Last Castle,2001,English,USA,Color,Action|Drama|Thriller,6.9,colonel|general|military|prison|three star general,Rod Lurie,57100,281,110,R,3,http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1,,,,          
,Captain Corelli's Mandolin,2001,English,UK,Color,Drama|Music|Romance|War,5.9,captain|greek|island|italian|love,John Madden,28099,220,96,R,2,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,,,,          
,Moulin Rouge!,2001,English,USA, Black and White,Drama|Musical|Romance,7.6,death of main character|eiffel tower paris|jealousy|tragedy|two suitors,Baz Luhrmann,224013,2319,209,PG-13,1,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,,,,          
,Domestic Disturbance,2001,English,USA,Color,Crime|Mystery|Thriller,5.5,amateur detective|boat builder|boy|stepfather|witness,Harold Becker,21283,190,98,PG-13,1,http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1,,,,          
,Shrek,2001,English,USA,Color,Adventure|Animation|Comedy|Family|Fantasy,7.9,donkey|fairy tale|ogre|princess|swamp,Andrew Adamson,467113,945,212,PG,1,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,,,,          
,Don't Say a Word,2001,English,USA,Color,Crime|Drama|Mystery|Thriller,6.3,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,Gary Fleder,40362,248,113,R,0,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,,,,          
,The One,2001,English,USA,Color,Action|Sci-Fi|Thriller,5.9,fight|multiverse|police|police officer|prison,James Wong,77684,294,98,PG-13,1,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,,,,          
,Rat Race,2001,English,Canada,Color,Adventure|Comedy,6.4,casino|locker|money|museum|race,Jerry Zucker,93367,497,103,PG-13,8,http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1,,,,          
,K-PAX,2001,English,USA,Color,Drama|Mystery|Sci-Fi,7.4,extraterrestrial|hospital|patient|planet|science,Iain Softley,148490,537,140,PG-13,1,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,,,,          
,Kate & Leopold,2001,English,USA,Color,Comedy|Fantasy|Romance,6.4,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,James Mangold,64595,316,125,PG-13,1,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,,,,          
,Riding in Cars with Boys,2001,English,USA,Color,Biography|Comedy|Drama,6.4,boy|college|heroin|working class|writer,Penny Marshall,22447,210,89,PG-13,1,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,,,,          
,America's Sweethearts,2001,English,USA,Color,Comedy|Romance,5.7,actor|love|movie star|press|publicist,Joe Roth,47573,343,142,PG-13,4,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,,,,          
,Training Day,2001,English,USA,Color,Crime|Drama|Thriller,7.7,lapd|narc|narcotics|title spoken by character|training,Antoine Fuqua,305929,633,109,R,2,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,,,,          
,Scary Movie 2,2001,English,USA,Color,Comedy,5.2,blow job|demon|exorcism|priest|professor,Keenen Ivory Wayans,119590,548,127,R,7,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,,,,          
,From Hell,2001,English,USA,Color,Horror|Mystery|Thriller,6.8,freemason|jack the ripper|opium|prostitute|victorian era,Albert Hughes,124765,541,208,R,1,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,,,,          
,The Pledge,2001,English,USA,Color,Crime|Drama|Mystery|Thriller,6.8,nevada|pledge|police|porcupine|search,Sean Penn,42621,531,150,R,0,http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1,,,,          
,15 Minutes,2001,English,USA,Color,Action|Crime|Drama|Thriller,6.1,criminal|detective|fire|homicide|media,John Herzfeld,42547,265,151,R,1,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,,,,          
,A Knight's Tale,2001,English,USA,Color,Action|Adventure|Romance,6.9,chaucer|jousting|knight|medieval times|tournament,Brian Helgeland,137003,658,167,PG-13,1,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,,,,          
,Shallow Hal,2001,English,USA,Color,Comedy|Drama|Fantasy|Romance,5.9,dying|friend|inner beauty|love|self help guru,Bobby Farrelly,109445,426,109,PG-13,2,http://www.imdb.com/title/tt0256380/?ref_=fn_tt_tt_1,,,,          
,The Mexican,2001,English,USA,Color,Adventure|Comedy|Crime|Romance,6.1,curse|hostage|mexico|pistol|vomiting,Gore Verbinski,87351,344,125,R,0,http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1,,,,          
,Behind Enemy Lines,2001,English,USA,Color,Action|Drama|Thriller|War,6.4,battle|massacre|navigator|navy|rescue,John Moore,86902,411,131,PG-13,2,http://www.imdb.com/title/tt0159273/?ref_=fn_tt_tt_1,,,,          
,The Musketeer,2001,English,Germany,Color,Action|Adventure|Romance,4.7,guard|king|murder|musketeer|swordsman,Peter Hyams,12856,291,107,PG-13,0,http://www.imdb.com/title/tt0246544/?ref_=fn_tt_tt_1,,,,          
,Sweet November,2001,English,USA,Color,Drama|Romance,6.7,advertising|cancer|dog|san francisco california|terminal illness,Pat O'Connor,70292,274,94,PG-13,1,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,,,,          
,Amélie,2001,French,France, Black and White,Comedy|Romance,8.4,cheerfulness|female protagonist|garden gnome|magical realism|waitress,Jean-Pierre Jeunet,534262,1314,242,R,0,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,,,,          
,Impostor,2001,English,USA,Color,Drama|Mystery|Sci-Fi|Thriller,6.2,alien|android|bomb|future|weapon,Gary Fleder,19986,207,83,R,4,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,,,,          
,Just Visiting,2001,English,France,Color,Comedy|Fantasy|Sci-Fi,5.8,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,Jean-Marie Poiré,15130,98,61,PG-13,3,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,,,,          
,The Fast and the Furious,2001,English,USA,Color,Action|Crime|Thriller,6.7,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,Rob Cohen,272227,988,187,PG-13,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,,,,          
,Heartbreakers,2001,English,USA,Color,Comedy|Crime|Romance,6.2,bank|infidelity|millionaire|money|scam,David Mirkin,44168,216,116,PG-13,3,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,,,,          
,Angel Eyes,2001,English,USA,Color,Drama|Romance,5.6,apartment|fate|gun|love|mysterious man,Luis Mandoki,19686,180,106,R,0,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,,,,          
,Joe Somebody,2001,English,USA,Color,Comedy|Drama,5.5,bully|co worker|divorce|fight|karate,John Pasquin,8433,85,55,PG,1,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,,,,          
,Rock Star,2001,English,USA,Color,Drama|Music,6.2,cover band|fired from a job|heavy metal|rock star|tribute band,Stephen Herek,34592,191,107,R,0,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,,,,          
,Texas Rangers,2001,English,USA,Color,Action|Adventure|Drama|Thriller|Western,5.2,army|mexican|orphan|texas|texas ranger,Steve Miner,4757,67,31,PG-13,2,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,,,,          
,Spy Kids,2001,English,USA,Color,Action|Adventure|Comedy|Family|Sci-Fi,5.4,brother sister relationship|espionage|rescue|secret agent|spy,Robert Rodriguez,84325,205,122,PG,0,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,,,,          
,Black Knight,2001,English,USA,Color,Adventure|Comedy|Fantasy,4.8,14th century|king|knight|sword duel|time travel,Gil Junger,30771,164,46,PG-13,1,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,,,,          
