movie_title,title_year,language,country,duration,color,genres,imdb_score,plot_keywords,director_name,Actors_name,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,aspect_ratio,budget,gross,profit,facenumber_in_poster,movie_imdb_link,,,,
Get Carter,2000,English,USA,102,Color,Action|Crime|Drama|Thriller,5.1,affair|car crash|enforcer|funeral|murder,Stephen Kay,Sylvester Stallone |  Miranda Richardson |  Lauren Lee Smith,27305,284,102,R,2.35,40000000,14967182,-25032818,1,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,,,,          
Reindeer Games,2000,English,USA,124,Color,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,5.7,casino|christmas|christmas season|girlfriend|release from prison,John Frankenheimer,Charlize Theron |  James Frain |  Clarence Williams III,31113,212,126,R,2.35,34000000,23360779,-10639221,0,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,,,,          
Isn't She Great,2000,English,USA,95,Color,Biography|Comedy|Romance,5.3,autistic son|cancer|female protagonist|new york city|son,Andrew Bergman,Stockard Channing |  Nathan Lane |  John Larroquette,1977,64,63,R,1.85,36000000,2954405,-33045595,0,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,,,,          
The Cell,2000,English,USA,109,Color,Horror|Sci-Fi|Thriller,6.3,coma|fbi|race against time|serial killer|strong female lead,Tarsem Singh,Dylan Baker |  Jake Weber |  James Gammon,79877,677,225,R,2.35,33000000,61280963,28280963,1,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,,,,          
Wonder Boys,2000,English,USA,107,Color,Comedy|Drama,7.4,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,Curtis Hanson,Robert Downey Jr. |  Rip Torn |  Richard Thomas,54643,335,173,R,2.35,55000000,19389454,-35610546,5,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,,,,          
I Dreamed of Africa,2000,English,USA,114,Color,Adventure|Drama|Romance,5.6,dream|italian|kenya|ranch|snake,Hugh Hudson,Liam Aiken |  Eva Marie Saint |  Vincent Perez,3740,61,52,PG-13,2.35,34000000,6543194,-27456806,1,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,,,,          
Big Momma's House,2000,English,USA,99,Color,Action|Comedy|Crime,5.1,disguise|fbi|female impersonation|gender disguise|obesity,Raja Gosnell,Nia Long |  Cedric the Entertainer |  Tichina Arnold,66941,148,100,PG-13,1.85,30000000,117559438,87559438,1,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,,,,          
The Watcher,2000,English,USA,97,Color,Crime|Horror|Mystery|Thriller,5.3,fbi|murder|scene of the crime|serial killer|therapy,Joe Charbanic,Keanu Reeves |  Joseph Sikora |  Chris Ellis,22220,181,103,R,1.85,33000000,28927720,-4072280,0,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,,,,          
Men of Honor,2000,English,USA,129,Color,Biography|Drama,7.2,african american|amputee|navy|racial discrimination|racism,George Tillman Jr.,Robert De Niro |  Charlize Theron |  Michael Rapaport,89424,224,98,R,2.35,32000000,48814909,16814909,0,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,,,,          
Frequency,2000,English,USA,118,Color,Crime|Drama|Mystery|Sci-Fi|Thriller,7.3,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,Gregory Hoblit,Dennis Quaid |  Andre Braugher |  Noah Emmerich,81866,510,168,PG-13,2.35,31000000,44983704,13983704,0,http://www.imdb.com/title/tt0186151/?ref_=fn_tt_tt_1,,,,          
Remember the Titans,2000,English,USA,120,Color,Biography|Drama|Sport,7.8,american football|based on true story|head coach|high school|school,Boaz Yakin,Ryan Gosling |  Denzel Washington |  Ethan Suplee,160776,402,157,PG,2.35,30000000,115648585,85648585,1,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,,,,          
Rugrats in Paris: The Movie,2000,English,Germany,78,Color,Adventure|Animation|Comedy|Family|Romance,6.1,amusement park|baby|france|paris france|villain,Stig Bergqvist,Elizabeth Daily |  Casey Kasem |  Debbie Reynolds,8146,49,41,G,1.85,30000000,76501438,46501438,0,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,,,,          
Keeping the Faith,2000,English,USA,128,Color,Comedy|Drama|Romance,6.4,celibacy|jewish|priest|rabbi|synagogue,Edward Norton,Lisa Edelstein |  Milos Forman |  Anne Bancroft,44816,259,148,PG-13,1.85,30000000,37036404,7036404,3,http://www.imdb.com/title/tt0171433/?ref_=fn_tt_tt_1,,,,          
Dracula 2000,2000,English,USA,99,Color,Action|Fantasy|Horror|Thriller,4.9,dracula|gothic|painting|rescue|van helsing,Patrick Lussier,Gerard Butler |  Danny Masterson |  Jeri Ryan,27378,365,122,R,2.35,28000000,33000377,5000377,0,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,,,,          
Lost Souls,2000,English,USA,97,Color,Drama|Horror|Thriller,4.8,faith|mental patient|priest|scheme|teacher,Janusz Kaminski,Philip Baker Hall |  Bob Clendenin |  Ben Chaplin,9338,167,100,R,2.35,28000000,16779636,-11220364,2,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,,,,          
"O Brother, Where Art Thou?",2000,English,UK,107,Color,Adventure|Comedy|Crime|Music,7.8,baby|bank|blind prophet|convict|sirens,Joel Coen,Holly Hunter |  Tim Blake Nelson |  Daniel von Bargen,225102,862,197,PG-13,2.35,26000000,45506619,19506619,3,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,,,,          
Chocolat,2000,English,UK,121,Color,Drama|Romance,7.3,chocolate|chocolate shop|food|france|village,Lasse Hallström,Lena Olin |  Leslie Caron |  Hugh O'Conor,150308,498,152,PG-13,1.85,25000000,71309760,46309760,1,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,,,,          
Romeo Must Die,2000,English,USA,115,Color,Action|Crime|Thriller,6.1,death|hong kong|kung fu|prison|waterfront,Andrzej Bartkowiak,Jet Li |  Delroy Lindo |  Aaliyah,57040,365,70,R,2.35,25000000,55973336,30973336,1,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,,,,          
The Next Best Thing,2000,English,USA,99,Color,Comedy|Drama|Romance,4.7,best friend|cartoon on tv|custody battle|gay|gay friend,John Schlesinger,Mark Valley |  Rupert Everett |  Illeana Douglas,9361,162,86,PG-13,1.85,25000000,14983572,-10016428,1,http://www.imdb.com/title/tt0156841/?ref_=fn_tt_tt_1,,,,          
The Whole Nine Yards,2000,English,USA,98,Color,Comedy|Crime,6.7,adultery|black humor|dentist|hitman|sex in bed,Jonathan Lynn,Bruce Willis |  Matthew Perry |  Natasha Henstridge,90374,318,129,R,1.85,24000000,57262492,33262492,4,http://www.imdb.com/title/tt0190138/?ref_=fn_tt_tt_1,,,,          
Return to Me,2000,English,USA,115,Color,Comedy|Drama|Romance,6.9,heart|italian restaurant|restaurant|transplant|waitress,Bonnie Hunt,Minnie Driver |  Jim Belushi |  Bonnie Hunt,16469,275,106,PG,1.85,24000000,32662299,8662299,1,http://www.imdb.com/title/tt0122459/?ref_=fn_tt_tt_1,,,,          
Nurse Betty,2000,English,Germany,110,Color,Comedy|Crime|Drama,6.3,hospital|kansas city|obsession|salesman|soap opera,Neil LaBute,Morgan Freeman |  Pruitt Taylor Vince |  Kathleen Wilhoite,30119,263,156,R,2.35,24000000,25167270,1167270,4,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1,,,,          
Ready to Rumble,2000,English,USA,107,Color,Comedy|Sport,5.3,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,Brian Robbins,Oliver Platt |  Ellen Albertini Dow |  Martin Landau,11709,101,51,PG-13,1.85,24000000,12372410,-11627590,1,http://www.imdb.com/title/tt0217756/?ref_=fn_tt_tt_1,,,,          
Final Destination,2000,English,USA,98,Color,Horror|Thriller,6.7,dead teenager|death|explosion|premonition|teenager,James Wong,Daniel Roebuck |  Brendan Fehr |  Kerr Smith,181058,674,211,R,1.85,23000000,53302314,30302314,1,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,,,,          
Pitch Black,2000,English,USA,112,Color,Horror|Sci-Fi,7.1,captain|darkness|eclipse|space|survival,David Twohy,Vin Diesel |  Radha Mitchell |  Cole Hauser,193962,805,214,R,2.35,23000000,39235088,16235088,0,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1,,,,          
The Crew,2000,English,USA,88,Color,Comedy|Crime,5.6,beach|drug lord|drugs|hotel|stripper,Michael Dinner,Seymour Cassel |  Dan Hedaya |  Lainie Kazan,3914,47,53,PG-13,1.85,23000000,13019253,-9980747,4,http://www.imdb.com/title/tt0198386/?ref_=fn_tt_tt_1,,,,          
The Little Vampire,2000,English,Germany,95,Color,Adventure|Comedy|Family|Fantasy,5.7,boy|pushed off a cliff|rat|secret passage|vampire,Uli Edel,Richard E. Grant |  Jim Carter |  Alice Krige,7242,38,38,PG,1.85,22000000,13555988,-8444012,1,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,,,,          
The Tigger Movie,2000,English,USA,77,Color,Animation|Comedy|Drama|Family|Musical,6.3,cartoon tiger|coming of age|tiger|tigger|title directed by female,Jun Falkenstein,Kath Soucie |  John Fiedler |  Ken Sansom,13319,53,89,G,1.78,30000000,45542421,15542421,0,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,,,,          
High Fidelity,2000,English,UK,113,Color,Comedy|Drama|Music|Romance,7.6,employer employee relationship|record store|store|thirty something|vinyl,Stephen Frears,Drake Bell |  Lili Taylor |  Lisa Bonet,143137,602,174,R,1.85,20000000,27277055,7277055,0,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,,,,          
Loser,2000,English,USA,98,Color,Comedy|Romance,5.3,college|loser|love|new york city|overdose,Amy Heckerling,Andy Dick |  Robert Miano |  Zak Orth,23076,158,81,PG-13,1.85,20000000,15464026,-4535974,2,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,,,,          
The Yards,2000,English,USA,115,Color,Crime|Drama|Romance|Thriller,6.4,best friend|corruption|fall to death|female nudity|friend,James Gray,Charlize Theron |  Ellen Burstyn |  Faye Dunaway,16215,138,93,R,2.35,24000000,882710,-23117290,2,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,,,,          
Thomas and the Magic Railroad,2000,English,UK,85,Color,Adventure|Comedy|Drama|Family|Fantasy,3.6,locomotive|magic|mountain|railroad|steam locomotive,Britt Allcroft,Mara Wilson |  Colm Feore |  Peter Fonda,2855,119,47,G,1.85,19000000,15911333,-3088667,1,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,,,,          
Small Time Crooks,2000,English,USA,94,Color,Comedy|Crime,6.7,apartment building|crook|new york city|three word title|written and directed by cast member,Woody Allen,Woody Allen |  Jon Lovitz |  Michael Rapaport,31169,192,128,PG,1.85,18000000,17071230,-928770,0,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,,,,          
Center Stage,2000,English,USA,115,Color,Drama|Music|Romance,6.7,ballet|dance|dancer|dancing|love,Nicholas Hytner,Amanda Schull |  Susan May Pratt |  Ethan Stiefel,15817,210,68,PG-13,2.35,18000000,17174870,-825130,2,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,,,,          
Road Trip,2000,English,USA,94,Color,Comedy,6.5,blonde|college|friend|highway travel|road trip,Todd Phillips,Ethan Suplee |  Rachel Blanchard |  Paulo Costanzo,132963,302,103,R,1.85,15600000,68525609,52925609,5,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,,,,          
Boys and Girls,2000,English,USA,94,Color,Comedy|Drama|Romance,5.3,best friend|break up|friendship|graduation|male in underwear,Robert Iscove,Alyson Hannigan |  Amanda Detmer |  Tsianina Joelson,13661,134,67,PG-13,1.85,16000000,20627372,4627372,3,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,,,,          
Drowning Mona,2000,English,USA,96,Color,Comedy|Crime|Mystery,5.6,crying woman|plot|suspect|waitress|younger man older woman relationship,Nick Gomez,Will Ferrell |  Jamie Lee Curtis |  Tracey Walter,11768,148,84,PG-13,1.85,16000000,15427192,-572808,0,http://www.imdb.com/title/tt0186045/?ref_=fn_tt_tt_1,,,,          
Duets,2000,English,USA,112,Color,Comedy|Drama|Music,6,convict|karaoke|middle america|salesman|singer,Bruce Paltrow,Lochlyn Munro |  Marian Seldes |  Huey Lewis,8217,123,65,R,1.85,15000000,4734235,-10265765,0,http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1,,,,          
"Crouching Tiger, Hidden Dragon",2000,Mandarin,Taiwan,120,Color,Action|Drama|Romance,7.9,bare midriff|china|magical realism|martial arts|sword,Ang Lee,Chen Chang |  Pei-Pei Cheng |  Sihung Lung,217740,1641,287,PG-13,2.35,15000000,128067808,113067808,3,http://www.imdb.com/title/tt0190332/?ref_=fn_tt_tt_1,,,,          
The Skulls,2000,English,USA,106,Color,Action|Crime|Drama|Thriller,5.6,college|friend|ivy league|secret society|suicide,Rob Cohen,Paul Walker |  Leslie Bibb |  William Petersen,26846,193,102,PG-13,1.85,15000000,35007180,20007180,0,http://www.imdb.com/title/tt0192614/?ref_=fn_tt_tt_1,,,,          
Where the Heart Is,2000,English,USA,120,Color,Comedy|Drama|Romance,6.8,birth|oklahoma|photographer|tennessee|wal mart,Matt Williams,Natalie Portman |  James Frain |  Stockard Channing,27044,240,78,PG-13,1.85,15000000,33771174,18771174,2,http://www.imdb.com/title/tt0198021/?ref_=fn_tt_tt_1,,,,          
Love & Basketball,2000,English,USA,124,Color,Drama|Romance|Sport,7.2,basketball movie|female basketball player|high school|nba|title directed by female,Gina Prince-Bythewood,Alfre Woodard |  Sanaa Lathan |  Omar Epps,14322,116,68,PG-13,1.85,15000000,27441122,12441122,0,http://www.imdb.com/title/tt0199725/?ref_=fn_tt_tt_1,,,,          
Book of Shadows: Blair Witch 2,2000,English,USA,90,Color,Adventure|Fantasy|Horror|Mystery|Thriller,4,convenience store|digit in title|punctuation in title|violence|witch,Joe Berlinger,Kim Director |  Erica Leerhsen |  Kurt Loder,28964,457,160,R,1.85,15000000,26421314,11421314,0,http://www.imdb.com/title/tt0229260/?ref_=fn_tt_tt_1,,,,          
Urban Legends: Final Cut,2000,English,USA,97,Color,Horror|Mystery|Thriller,4.1,film set|movie set|sequel|slow motion|urban legend,John Ottman,Loretta Devine |  Joey Lawrence |  Jacinda Barrett,13048,227,108,R,2.35,14000000,21468807,7468807,2,http://www.imdb.com/title/tt0192731/?ref_=fn_tt_tt_1,,,,          
Highlander: Endgame,2000,English,USA,101,Color,Action|Adventure|Fantasy|Sci-Fi,4.6,battle|explosion|immortal|revenge|sequel to cult film,Douglas Aarniokoski,Christopher Lambert |  Adrian Paul |  Adam Copeland,16340,355,90,R,2.35,15000000,12801190,-2198810,1,http://www.imdb.com/title/tt0144964/?ref_=fn_tt_tt_1,,,,          
Here on Earth,2000,English,USA,96,Color,Drama|Romance,5.1,diner|love|private school|school|small town,Mark Piznarski,Bruce Greenwood |  Chris Klein |  Elaine Hendrix,7403,162,44,PG-13,1.85,15000000,10494147,-4505853,1,http://www.imdb.com/title/tt0195778/?ref_=fn_tt_tt_1,,,,          
Whatever It Takes,2000,English,USA,94,Color,Comedy|Drama|Romance,5.5,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,David Raynr,James Franco |  Jodi Lyn O'Keefe |  Marla Sokoloff,8055,89,50,PG-13,1.85,15000000,8735529,-6264471,4,http://www.imdb.com/title/tt0202402/?ref_=fn_tt_tt_1,,,,          
The In Crowd,2000,English,USA,105, Black and White,Drama|Mystery|Thriller,4.6,clique|country club|female protagonist|lip gloss|title directed by female,Mary Lambert,Matthew Settle |  Susan Ward |  A.J. Buckley,3668,85,49,PG-13,1.85,15000000,5217498,-9782502,4,http://www.imdb.com/title/tt0163676/?ref_=fn_tt_tt_1,,,,          
Pandaemonium,2000,English,UK,124,Color,Biography|Drama,6.6,betrayal|french revolution|friendship|poet|revolution,Julien Temple,Samantha Morton |  Dexter Fletcher |  Linus Roache,695,32,22,PG-13,,15000000,,-15000000,1,http://www.imdb.com/title/tt0210217/?ref_=fn_tt_tt_1,,,,          
Gossip,2000,English,USA,90,Color,Drama|Mystery|Thriller,5.9,college|college campus|gossip|rape|sex,Davis Guggenheim,Norman Reedus |  Sharon Lawrence |  Noam Jenkins,12519,112,63,R,2.35,24000000,5108820,-18891180,5,http://www.imdb.com/title/tt0176783/?ref_=fn_tt_tt_1,,,,          
Quills,2000,English,UK,124,Color,Biography|Drama,7.4,asylum|lust|male pubic hair|penis|pubic hair,Philip Kaufman,Kate Winslet |  Stephen Marcus |  Amelia Warner,44795,314,132,R,1.85,13500000,7060876,-6439124,1,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,,,,          
"Dude, Where's My Car?",2000,English,USA,83,Color,Comedy|Mystery,5.5,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,Danny Leiner,Jennifer Garner |  Mary Lynn Rajskub |  Marla Sokoloff,116625,469,106,PG-13,1.37,13000000,46729374,33729374,2,http://www.imdb.com/title/tt0242423/?ref_=fn_tt_tt_1,,,,          
Snow Day,2000,English,USA,89,Color,Adventure|Comedy|Family,4.9,meteorologist|snow|snowed in|snowplow|weather,Chris Koch,Chris Elliott |  Mark Webber |  Jean Smart,9285,91,42,PG,1.85,13000000,60008303,47008303,1,http://www.imdb.com/title/tt0184907/?ref_=fn_tt_tt_1,,,,          
The Widow of Saint-Pierre,2000,French,France,112,Color,Drama|Romance,7.3,archipelago|guillotine|island|prison|redemption,Patrice Leconte,Emir Kusturica |  Daniel Auteuil |  Yves Jacques,4767,69,61,R,2.35,100000000,3058380,-96941620,1,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,,,,          
The Claim,2000,English,UK,115,Color,Drama|Romance|Western,6.5,gold|gold mine|miner|railroad|surveyor,Michael Winterbottom,Milla Jovovich |  Sarah Polley |  Shirley Henderson,5254,92,71,R,2.35,20000000,403932,-19596068,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,,,,          
Dancer in the Dark,2000,English,Denmark,140,Color,Crime|Drama|Musical,8,ends with quotation|execution|factory|women's prison|year 1964,Lars von Trier,Catherine Deneuve |  Udo Kier |  Björk,79330,690,177,R,2.35,12800000,4157491,-8642509,0,http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1,,,,          
Screwed,2000,English,USA,81,Color,Comedy|Crime,5.7,chauffeur|disorganized crime|dog|ransom|slapstick,Scott Alexander,Sarah Silverman |  Dave Chappelle |  Sherman Hemsley,6965,69,29,PG-13,1.85,10000000,6982680,-3017320,0,http://www.imdb.com/title/tt0156323/?ref_=fn_tt_tt_1,,,,          
Brother,2000,English,USA,114,Color,Crime|Drama|Thriller,7.2,gang|gangster|subjective camera|written and directed by cast member|yakuza,Takeshi Kitano,Omar Epps |  Tatyana Ali |  James Shigeta,18520,133,81,R,1.85,10000000,447750,-9552250,0,http://www.imdb.com/title/tt0222851/?ref_=fn_tt_tt_1,,,,          
Snatch,2000,English,UK,104,Color,Comedy|Crime,8.3,boxer|boxing|diamond|fight|gypsy,Guy Ritchie,Jason Statham |  Brad Pitt |  Jason Flemyng,600996,726,151,R,1.85,6000000,30093107,24093107,6,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,,,,          
The Ladies Man,2000,English,USA,84,Color,Comedy,5.1,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,Reginald Hudlin,Will Ferrell |  John Witherspoon |  Tim Meadows,10777,79,58,R,1.85,11000000,13592872,2592872,1,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,,,,          
Bring It On,2000,English,USA,98,Color,Comedy|Sport,5.9,championship|cheerleading|high school|teen comedy|teenage romance,Peyton Reed,Kirsten Dunst |  Lindsay Sloane |  Clare Kramer,70141,385,139,PG-13,1.85,10000000,68353550,58353550,1,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,,,,          
Snatch,2000,English,UK,104,Color,Comedy|Crime,8.3,boxer|boxing|diamond|fight|gypsy,Guy Ritchie,Jason Statham |  Brad Pitt |  Jason Flemyng,600996,726,151,R,1.85,6000000,30093107,24093107,6,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,,,,          
The House of Mirth,2000,English,UK,135,Color,Drama|Romance,7.1,high society|love|money|reputation|wealth,Terence Davies,Eric Stoltz |  Anthony LaPaglia |  Elizabeth McGovern,6377,181,96,PG,2.35,10000000,3041803,-6958197,0,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,,,,          
Bamboozled,2000,English,USA,135,Color,Comedy|Drama|Music,6.5,actor|minstrel show|protest|success|writer,Spike Lee,Gillian White |  Michael Rapaport |  Jada Pinkett Smith,8720,186,57,R,1.85,10000000,2185266,-7814734,0,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,,,,          
Gun Shy,2000,English,USA,101,Color,Comedy|Crime|Romance,5.7,colombian|enema|group therapy|murder|nurse,Eric Blakeney,Liam Neeson |  Oliver Platt |  Mitch Pileggi,5936,91,49,R,1.85,10000000,1631839,-8368161,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,,,,          
Cecil B. DeMented,2000,English,France,87,Color,Comedy|Crime|Thriller,6.2,actress|drive in|female protagonist|movie star|woman shot in the forehead,John Waters,Alicia Witt |  Melanie Griffith |  Kevin Nealon,11403,150,90,R,1.85,10000000,1276984,-8723016,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,,,,          
Next Friday,2000,English,USA,98,Color,Comedy,6.1,african american|flashback|marijuana joint|porn magazine|suburb,Steve Carr,John Witherspoon |  Mike Epps |  Rolando Molina,27492,84,55,R,1.85,9500000,57176582,47676582,1,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,,,,          
Down to You,2000,English,USA,91,Color,Comedy|Drama|Romance,4.9,artist|cake|college|new york city|student,Kris Isacsson,Rosario Dawson |  Lauren German |  Shawn Hatosy,12324,173,64,PG-13,1.85,9000000,20035310,11035310,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,,,,          
The Contender,2000,English,USA,126,Color,Drama|Thriller,7,bridge|governor|political thriller|president|vice president,Rod Lurie,Jeff Bridges |  Gary Oldman |  William Petersen,20449,370,136,R,1.85,20000000,17804273,-2195727,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,,,,          
Boiler Room,2000,English,USA,120,Color,Crime|Drama|Thriller,7,career|casino|judge|stock|stock broker,Ben Younger,Vin Diesel |  Nia Long |  Herbert Russell,41313,246,132,R,1.85,8000000,16938179,8938179,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,,,,          
The Way of the Gun,2000,English,USA,119,Color,Action|Crime|Drama|Thriller,6.7,criminal|drifter|gangster|money|surrogate mother,Christopher McQuarrie,Kristin Lehman |  Nicky Katt |  Dylan Kussman,27536,327,117,R,1.85,8500000,6047856,-2452144,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,,,,          
American Psycho,2000,English,USA,102,Color,Crime|Drama,7.6,1980s|business card|male rear nudity|materialism|narcissism,Mary Harron,Christian Bale |  Justin Theroux |  Samantha Mathis,357275,1061,288,R,2.35,7000000,15047419,8047419,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,,,,          
Shadow of the Vampire,2000,English,UK,92, Black and White,Drama|Horror,6.9,actor|breasts|film actress|nosferatu|vampire,E. Elias Merhige,Eddie Izzard |  Udo Kier |  Catherine McCormack,34191,339,196,R,2.35,8000000,8279017,279017,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,,,,          
Woman on Top,2000,English,USA,92,Color,Comedy|Fantasy|Romance,5.3,cross dresser|food|friend|motion sickness|restaurant,Fina Torres,Harold Perrineau |  John de Lancie |  Mark Feuerstein,8546,86,72,R,2.35,8000000,5018450,-2981550,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,,,,          
My Dog Skip,2000,English,USA,95,Color,Drama|Family|Sport,7,1940s|dog|mississippi|puppy|veteran,Jay Russell,Clint Howard |  Frankie Muniz |  Cody Linley,16651,149,79,PG,1.37,5000000,34099640,29099640,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,,,,          
The Claim,2000,English,UK,115,Color,Drama|Romance|Western,6.5,gold|gold mine|miner|railroad|surveyor,Michael Winterbottom,Milla Jovovich |  Sarah Polley |  Shirley Henderson,5254,92,71,R,2.35,20000000,403932,-19596068,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,,,,          
Michael Jordan to the Max,2000,English,USA,46,Color,Documentary|Sport,7.5,basketball|basketball player|character name in title|chicago bulls|imax,Don Kempf,Bill Murray |  Michael Jordan |  Bob Costas,1723,13,14,,1.44,,18642318,18642318,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,,,,          
Aberdeen,2000,English,UK,106,Color,Drama,7.3,death|ferry|lawyer|norway|vomiting,Hans Petter Moland,Charlotte Rampling |  Sara-Marie Maltha |  Stellan Skarsgård,2601,35,28,,1.85,6500000,64148,-6435852,0,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,,,,          
Best in Show,2000,English,USA,90,Color,Comedy,7.5,dog show|gay|gay character|gay couple|gay interest,Christopher Guest,John Michael Higgins |  Catherine O'Hara |  Michael McKean,45859,340,119,PG-13,1.85,6000000,18621249,12621249,9,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,,,,          
Pollock,2000,English,USA,122,Color,Biography|Drama,7,1940s|artist|drinking|life magazine|painter,Ed Harris,John Heard |  Bud Cort |  Amy Madigan,23023,148,115,R,1.85,6000000,8596914,2596914,0,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,,,,          
Memento,2000,English,USA,113, Black and White,Mystery|Thriller,8.5,flashback|memory|murder|short term memory|telephone,Christopher Nolan,Callum Rennie |  Thomas Lennon |  Jorja Fox,845580,2067,274,R,2.35,9000000,25530884,16530884,0,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,,,,          
Billy Elliot,2000,English,UK,110,Color,Drama|Music,7.7,audition|ballet|boxing|miner|miners strike,Stephen Daldry,Julie Walters |  Gary Lewis |  Jamie Draven,98354,433,151,R,1.85,5000000,21994911,16994911,0,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,,,,          
Digimon: The Movie,2000,English,USA,82,Color,Action|Adventure|Animation|Family|Sci-Fi,5.9,based on video game|box office hit|computer|digimon|internet,Mamoru Hosoda,Lara Jill Miller |  Colleen O'Shaughnessey |  Mona Marshall,5164,65,29,PG,1.85,5000000,9628751,4628751,0,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,,,,          
Requiem for a Dream,2000,English,USA,102,Color,Drama,8.4,addiction|diet pill|drug addiction|fast motion scene|heroin,Darren Aronofsky,Ellen Burstyn |  Mark Margolis |  Louise Lasser,573541,1916,234,R,1.37,4500000,3609278,-890722,0,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,,,,          
Sexy Beast,2000,English,UK,89,Color,Crime|Thriller,7.3,boulder|gangster|one last job|spain|villa,Jonathan Glazer,Ray Winstone |  James Fox |  Amanda Redman,43135,346,149,R,2.35,,6940281,6940281,6,http://www.imdb.com/title/tt0203119/?ref_=fn_tt_tt_1,,,,          
